"","Have.you.ever.been.diagnosed.with.colour.blindness.","How.many.years..including.this.year..have.you.studied.in.an.English.language.school.university.","Do.you.play.video.games.regularly.","What.device.did.you.use.to.do.the.Stroop.test.","What.kind.of.headphones.did.you.use.","Put.these.levels.of.auditory.distraction.in.the.order.that.you.did.them.","What.was.your.first.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.","OffTime","OnTime","Total...of.runs.Stroop.Off","Total...of.runs.Stroop.On","OnTime.minus.OffTime","What.was.your.second.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.2","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.2","OffTime2","OnTime2","Total...of.runs.Stroop.Off2","Total...of.runs.Stroop.On2","OnTime.minus.OffTime2","What.was.your.third.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.3","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.3","OffTime3","OnTime3","Total...of.runs.Stroop.Off3","Total...of.runs.Stroop.On3","OnTime.minus.OffTime3","ID"
"15","No","12","No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","Classical","9","8:31 PM","57.410","60.796",5,7,"3.387","Control","9","8:36 PM","55.584","62.405",5,5,"6.821","Song with lyric","9","8:41 PM","54.826","58.455",5,5,"3.628",15
"16","No","8 years","No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","7 hours","6:08PM","70.689s","90.378s",5,5,"19.689s","Music with lyrics (Ed Sheeran, Shape of You)","7 hours","6:15PM","74.808s","83.990s",5,5,"9.182s","Classical instrumental music (Mozart Piano Sonata No. 8 in A minor)","7 hours","6:27pm","74.808s","83.990s",5,5,"9.182s",16
"17","No","6","No","Android phone","In-ear headphones; not noise cancelling","","quiet","8","8pm","49.166","55.254",5,5,"6.088","classical","8","8pm","51.532","54.891",5,5,"3.359","shape of you","8","8pm","46.468","49.934",5,5,"3.466",17
"18","No","7","Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","7.5","7:00pm","58.410","68.398",5,5,"9.988","Ed Sheeran, Shape of You","7.5","7:10pm","56.341","64.575",5,5,"8.234","Mozart","7.5","7:20pm","58.102","62.024",5,5,"3.922",18
"19","No","8","Yes","iPhone / iPod","In-ear headphones; noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","Classicial Instrumental","9.5 Hours","5 P.M.","46.513","46.738",5,6,"0.225","Quiet","9.5 Hours","5:30 P.M.","38.728","46.292",7,6,"11.564","Ed Sheeran","9.5 Hours","6 P.M","43.108","38.584",5,5,"-4.524",19
"20","No","16","No","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","Control (no music)","8","7:48 PM","58.707","60.834",5,5,"2.127","Classical Music","8","7:55 PM","51.562","55.042",5,5,"3.480","Song with lyrics","8","8:01 PM","48.819","48.725",5,5,"-0.094",20
"21","No","5","Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","8","2.30p.m.","64.422s","68.845s",5,5,"4.422s","Shape of you","8","2.40p.m.","70.973s","74.591s",5,5,"3.618s","Classical ","8","2.47p.m.","62.503s","66.603s",5,5,"4.100s",21
"22","No","19","Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Control (quiet)","7","8:30pm","44.871","54.092",5,6,"9.221","Song with lyrics (Shape of You by Ed Sheeran)","7","8:40pm","42.520","50.446",5,6,"7.926","Classical (Mozart)","7","8:50pm","46.416","51.818",6,6,"5.402",22
"23","No","7","No","iPhone / iPod","In-ear headphones; not noise cancelling","","Quiet","8 hours","21:35","48.333s","50.329s",11,8,"1.996s","Music with lyrics (Ed Sheeran, Shape of You)","8 hours","21:43","49.112s","49.967s",6,7,"0.855s","Classical instrumental music (Mozart Piano Sonata No. 8 in A minor)","8 hours","21:48","47.351s","47.836s",5,5,"0.484s",23
"24","No","15","No","iPad tablet","Over-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","shape of you","6","dinner time 7pm","53.592S","56.983",7,11,"3.391","Mozart","6","diner time 7pm","55.440S","60.680s",11,6,"5.241","Quiet","6","dinner time","52.866s","57.312s",7,11,"4.447s",24
