UserID,Points,CreatedDate
M4,150,2015/4/10
M3,150,2015/4/13
M4,25,2015/4/14
M4,25,2015/4/14
M4,25,2015/4/14
M4,25,2015/4/14
M4,25,2015/4/14
M4,25,2015/4/15
M4,25,2015/4/15
M4,25,2015/4/15
M4,1,2015/4/15
M4,1,2015/4/15
M4,1,2015/4/15
M4,1,2015/4/15
M3,1,2015/4/15
M3,25,2015/4/15
M3,1,2015/4/16
M3,1,2015/4/16
M3,-20,2015/4/16
M3,1,2015/4/16
M3,1,2015/4/16
M3,25,2015/4/17
M3,25,2015/4/17
M3,-50,2015/4/17
M4,100,2015/4/19
M3,100,2015/4/20
M3,5,2015/4/20
M3,5,2015/4/20
M3,5,2015/4/20
M3,100,2015/4/20
M3,5,2015/4/20
M3,100,2015/4/20
M4,100,2015/4/20
M4,100,2015/4/21
M3,5,2015/4/21
M3,5,2015/4/21
M3,5,2015/4/21
M3,100,2015/4/21
M3,25,2015/4/24
M3,-40,2015/4/24
M3,-250,2015/4/24
M3,5,2015/4/24
M3,100,2015/4/24
M3,100,2015/4/24
M3,100,2015/4/24
M3,100,2015/4/24
M3,100,2015/4/24
M3,100,2015/4/24
M3,5,2015/4/24
M3,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M4,5,2015/4/24
M3,5,2015/4/27
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-10,2015/4/28
M3,-25,2015/4/28
M3,5,2015/4/28
M3,100,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M4,5,2015/4/29
M3,5,2015/4/30
M3,5,2015/4/30
M3,100,2015/5/1
M4,50,2015/5/4
M4,100,2015/5/5
M3,50,2015/5/5
M3,25,2015/5/5
M4,100,2015/5/6
M3,100,2015/5/7
M3,100,2015/5/7
M3,100,2015/5/7
M3,5,2015/5/14
M3,5,2015/5/15
M3,50,2015/5/15
M3,5,2015/5/27
M3,100,2015/6/9
M3,100,2015/6/10
M3,100,2015/6/11
M3,5,2015/6/11
M3,100,2015/6/16
M3,50,2015/6/16
M3,50,2015/6/16
M3,100,2015/6/18
M3,100,2015/6/22
M3,100,2015/6/22
M3,100,2015/6/22
M3,100,2015/6/22
M3,100,2015/6/23
M3,100,2015/6/23
M3,100,2015/6/23
M3,100,2015/6/23
M3,-10,2015/7/6
M3,25,2015/7/7
M3,25,2015/7/7
M3,25,2015/7/7
M3,25,2015/7/7
M3,25,2015/7/7
M3,25,2015/7/8
M3,25,2015/7/8
M3,100,2015/7/9
M3,50,2015/7/9
M3,50,2015/7/9
M3,50,2015/7/9
M3,100,2015/7/9
M3,50,2015/7/9
M3,100,2015/7/13
M3,50,2015/7/13
M3,100,2015/7/13
M3,5,2015/7/13
M3,50,2015/7/16
M3,25,2015/7/16
M3,25,2015/7/17
M3,100,2015/7/17
M3,-10,2015/7/21
M3,1000,2015/7/21
M3,250,2015/7/21
M3,-10,2015/7/21
M3,-10,2015/7/21
M3,-10,2015/7/21
M3,-25,2015/7/21
M3,-10,2015/7/21
M3,-25,2015/7/21
M3,-50,2015/7/21
M3,-50,2015/7/21
M3,100,2015/7/22
M3,100,2015/9/14
M3,25,2015/9/17
M4,-20,2015/9/17
M3,-10,2015/9/17
M3,-50,2015/9/17
M3,-10,2015/9/17
M3,-10,2015/9/18
M3,-20,2015/9/18
M3,-10,2015/9/18
M3,-10,2015/9/18
M3,-10,2015/9/18
M3,-10,2015/9/18
M3,-25,2015/9/18
M3,-50,2015/9/18
M4,-10,2015/9/18
M4,-10,2015/9/18
M4,-10,2015/9/18
M4,-10,2015/9/18
M4,-10,2015/9/18
M4,-10,2015/9/18
M4,-10,2015/9/18
M3,-10,2015/9/18
M3,-10,2015/9/18
M3,-10,2015/9/18
M3,-20,2015/9/18
M3,-25,2015/9/18
M3,-20,2015/9/21
M4,-10,2015/9/22
M3,-25,2015/9/22
M3,-250,2015/9/22
M3,-10,2015/9/22
M3,-10,2015/9/23
M3,-10,2015/9/23
M3,-10,2015/9/23
M3,-25,2015/9/23
M3,-10,2015/9/23
M3,-25,2015/9/23
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/24
M3,100,2015/9/25
M3,25,2015/9/25
M3,25,2015/9/25
M3,25,2015/9/25
M3,25,2015/9/25
M3,25,2015/9/25
M3,25,2015/9/25
M3,100,2015/9/25
M3,25,2015/9/28
M3,25,2015/9/28
M3,25,2015/9/28
M3,100,2015/9/28
M3,100,2015/9/28
M3,25,2015/9/28
M3,25,2015/9/28
M3,100,2015/9/28
M3,100,2015/9/28
M3,-10,2015/9/29
M3,-10,2015/9/29
M3,25,2015/9/29
M3,100,2015/9/29
M3,100,2015/10/2
M3,500,2015/10/5
M4,500,2015/10/5
M3,500,2015/10/5
M4,500,2015/10/5
M3,500,2015/10/5
M4,500,2015/10/5
M3,500,2015/10/5
M4,500,2015/10/5
M3,500,2015/10/5
M4,500,2015/10/5
M3,100,2015/10/5
M3,500,2015/10/5
M4,500,2015/10/5
M3,500,2015/10/7
M4,500,2015/10/7
M4,100,2015/10/8
M4,500,2015/10/13
M4,25,2015/10/14
M4,100,2015/10/14
M4,25,2015/10/14
M4,25,2015/10/27
M4,25,2015/10/28
M4,-10,2015/10/29
M4,-10,2015/10/29
M4,-10,2015/10/29
M4,100,2015/10/29
M4,500,2015/10/29
M4,500,2015/10/29
M4,500,2015/10/29
M4,25,2015/11/6
M4,100,2015/11/6
M4,100,2015/11/9
M4,100,2015/11/10
M4,100,2015/11/15
M4,100,2015/11/15
M4,100,2015/11/15
M4,100,2015/11/15
M4,5,2015/11/16
M4,5,2015/11/16
M4,5,2015/11/16
M4,5,2015/11/16
M4,5,2015/11/16
M4,5,2015/11/16
M4,5,2015/11/16
M4,5,2015/11/16
M4,100,2015/11/17
M4,-10,2015/11/26
M4,5,2015/11/26
M3,100,2015/11/26
M3,100,2015/11/26
M3,500,2015/11/26
M3,25,2015/11/26
M3,5,2015/11/26
M3,25,2015/11/26
M3,100,2015/11/26
M3,5,2015/11/26
M3,25,2015/11/26
M3,-10,2015/11/26
M3,100,2015/11/27
M3,25,2015/11/27
M3,25,2015/11/27
M4,5,2015/11/27
M3,25,2015/11/30
M3,100,2015/11/30
M3,500,2015/11/30
M3,25,2015/11/30
M3,25,2015/11/30
M234,100,2015/12/1
M235,100,2015/12/1
M236,100,2015/12/1
M237,100,2015/12/1
M238,100,2015/12/1
M239,100,2015/12/1
M240,100,2015/12/1
M241,100,2015/12/1
M242,100,2015/12/1
M239,25,2015/12/1
M241,500,2015/12/1
M243,100,2015/12/1
M241,-10,2015/12/1
M244,100,2015/12/1
M245,100,2015/12/1
M246,100,2015/12/1
M247,100,2015/12/1
M248,100,2015/12/1
M249,100,2015/12/1
M250,100,2015/12/1
M249,500,2015/12/1
M251,100,2015/12/1
M252,100,2015/12/1
M249,500,2015/12/1
M249,100,2015/12/1
M253,100,2015/12/1
M253,25,2015/12/1
M249,100,2015/12/1
M252,500,2015/12/1
M252,500,2015/12/1
M252,25,2015/12/1
M249,100,2015/12/1
M254,100,2015/12/1
M255,100,2015/12/1
M249,100,2015/12/1
M255,500,2015/12/1
M249,100,2015/12/1
M256,100,2015/12/1
M249,100,2015/12/1
M249,100,2015/12/1
M257,100,2015/12/1
M249,100,2015/12/1
M255,500,2015/12/1
M256,500,2015/12/1
M258,100,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M258,500,2015/12/1
M249,5,2015/12/1
M259,100,2015/12/1
M258,25,2015/12/1
M249,5,2015/12/1
M249,5,2015/12/1
M259,500,2015/12/1
M260,100,2015/12/1
M259,25,2015/12/1
M249,100,2015/12/1
M249,100,2015/12/1
M261,100,2015/12/1
M258,100,2015/12/1
M262,100,2015/12/1
M263,100,2015/12/1
M264,100,2015/12/1
M265,100,2015/12/1
M249,100,2015/12/1
M262,25,2015/12/1
M255,-50,2015/12/1
M264,500,2015/12/1
M262,25,2015/12/1
M255,-250,2015/12/1
M255,-250,2015/12/1
M255,-100,2015/12/1
M255,-100,2015/12/1
M266,100,2015/12/1
M255,-20,2015/12/1
M259,500,2015/12/1
M266,25,2015/12/1
M255,-30,2015/12/1
M262,100,2015/12/1
M267,100,2015/12/1
M267,500,2015/12/1
M256,500,2015/12/1
M268,100,2015/12/1
M262,-50,2015/12/1
M261,500,2015/12/1
M261,500,2015/12/1
M269,100,2015/12/1
M256,25,2015/12/1
M270,100,2015/12/1
M271,100,2015/12/1
M256,100,2015/12/1
M261,25,2015/12/1
M270,25,2015/12/1
M253,500,2015/12/1
M271,500,2015/12/1
M272,100,2015/12/1
M269,500,2015/12/1
M261,25,2015/12/1
M272,25,2015/12/1
M273,100,2015/12/1
M273,500,2015/12/1
M264,500,2015/12/1
M273,25,2015/12/1
M274,100,2015/12/1
M263,500,2015/12/1
M263,500,2015/12/1
M275,100,2015/12/1
M276,100,2015/12/1
M266,500,2015/12/1
M266,500,2015/12/1
M265,500,2015/12/1
M256,100,2015/12/1
M277,100,2015/12/1
M257,500,2015/12/1
M266,25,2015/12/1
M265,500,2015/12/1
M252,100,2015/12/1
M278,100,2015/12/1
M257,500,2015/12/1
M279,100,2015/12/1
M280,100,2015/12/1
M266,25,2015/12/1
M279,25,2015/12/1
M280,500,2015/12/1
M281,100,2015/12/1
M266,25,2015/12/1
M282,100,2015/12/1
M283,100,2015/12/1
M282,500,2015/12/1
M283,500,2015/12/1
M282,25,2015/12/1
M284,100,2015/12/1
M281,25,2015/12/1
M280,25,2015/12/1
M281,500,2015/12/1
M285,100,2015/12/1
M263,-100,2015/12/1
M285,500,2015/12/1
M286,100,2015/12/1
M286,25,2015/12/1
M287,100,2015/12/1
M288,100,2015/12/1
M285,25,2015/12/1
M289,100,2015/12/1
M290,100,2015/12/1
M291,100,2015/12/1
M292,100,2015/12/1
M281,100,2015/12/1
M293,100,2015/12/1
M290,500,2015/12/1
M276,500,2015/12/1
M294,100,2015/12/1
M295,100,2015/12/1
M276,500,2015/12/1
M295,500,2015/12/1
M296,100,2015/12/1
M295,25,2015/12/1
M267,500,2015/12/1
M297,100,2015/12/1
M266,100,2015/12/1
M268,500,2015/12/1
M298,100,2015/12/1
M299,100,2015/12/1
M298,500,2015/12/1
M268,500,2015/12/1
M263,-100,2015/12/1
M235,500,2015/12/1
M258,100,2015/12/1
M263,-100,2015/12/1
M300,100,2015/12/1
M235,500,2015/12/1
M263,-50,2015/12/1
M301,100,2015/12/1
M300,500,2015/12/1
M263,-100,2015/12/1
M298,25,2015/12/1
M302,100,2015/12/1
M303,100,2015/12/1
M252,100,2015/12/1
M284,500,2015/12/1
M303,500,2015/12/1
M276,100,2015/12/1
M266,100,2015/12/1
M304,100,2015/12/1
M305,100,2015/12/1
M289,500,2015/12/1
M283,500,2015/12/1
M306,100,2015/12/1
M286,500,2015/12/1
M289,500,2015/12/1
M287,500,2015/12/1
M305,500,2015/12/1
M269,500,2015/12/1
M283,25,2015/12/1
M307,100,2015/12/1
M306,25,2015/12/1
M272,500,2015/12/1
M272,500,2015/12/1
M299,100,2015/12/1
M286,500,2015/12/1
M265,100,2015/12/1
M308,100,2015/12/1
M309,100,2015/12/1
M277,500,2015/12/1
M309,25,2015/12/1
M276,-1000,2015/12/1
M299,500,2015/12/1
M309,500,2015/12/1
M276,-80,2015/12/1
M310,100,2015/12/1
M310,500,2015/12/1
M309,-25,2015/12/1
M297,500,2015/12/1
M264,100,2015/12/1
M280,500,2015/12/1
M283,100,2015/12/1
M309,-50,2015/12/1
M311,100,2015/12/1
M297,500,2015/12/1
M312,100,2015/12/1
M312,25,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M291,500,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M265,25,2015/12/1
M235,5,2015/12/1
M313,100,2015/12/1
M314,100,2015/12/1
M315,100,2015/12/1
M265,100,2015/12/1
M316,100,2015/12/1
M290,500,2015/12/1
M307,500,2015/12/1
M264,100,2015/12/1
M315,25,2015/12/1
M317,100,2015/12/1
M318,100,2015/12/1
M265,25,2015/12/1
M317,500,2015/12/1
M318,500,2015/12/1
M319,100,2015/12/1
M320,100,2015/12/1
M281,100,2015/12/1
M320,25,2015/12/1
M319,25,2015/12/1
M319,25,2015/12/1
M319,500,2015/12/1
M263,100,2015/12/1
M278,500,2015/12/1
M284,100,2015/12/1
M235,100,2015/12/1
M264,100,2015/12/1
M293,500,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M321,100,2015/12/1
M235,5,2015/12/1
M299,100,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M288,500,2015/12/1
M235,5,2015/12/1
M235,5,2015/12/1
M263,100,2015/12/1
M322,100,2015/12/1
M323,100,2015/12/1
M316,500,2015/12/1
M321,25,2015/12/1
M321,25,2015/12/1
M324,100,2015/12/1
M288,500,2015/12/1
M302,500,2015/12/1
M325,100,2015/12/1
M325,500,2015/12/1
M326,100,2015/12/1
M327,100,2015/12/1
M328,100,2015/12/1
M264,100,2015/12/1
M281,25,2015/12/1
M329,100,2015/12/1
M330,100,2015/12/1
M290,25,2015/12/1
M331,100,2015/12/1
M327,500,2015/12/1
M302,25,2015/12/1
M326,500,2015/12/1
M330,25,2015/12/1
M329,500,2015/12/1
M288,25,2015/12/1
M326,25,2015/12/1
M281,-20,2015/12/1
M281,-20,2015/12/1
M332,100,2015/12/1
M301,500,2015/12/1
M294,500,2015/12/1
M333,100,2015/12/1
M290,100,2015/12/1
M281,-20,2015/12/1
M307,25,2015/12/1
M301,500,2015/12/1
M281,-20,2015/12/1
M333,500,2015/12/1
M307,25,2015/12/1
M334,100,2015/12/1
M270,500,2015/12/1
M332,25,2015/12/1
M287,500,2015/12/1
M330,25,2015/12/1
M322,500,2015/12/1
M281,-50,2015/12/1
M332,500,2015/12/1
M335,100,2015/12/1
M336,100,2015/12/1
M309,500,2015/12/1
M287,100,2015/12/1
M294,100,2015/12/1
M279,500,2015/12/1
M337,100,2015/12/1
M294,100,2015/12/1
M338,100,2015/12/1
M313,500,2015/12/1
M312,500,2015/12/1
M339,100,2015/12/1
M313,500,2015/12/1
M340,100,2015/12/1
M339,500,2015/12/1
M312,500,2015/12/1
M340,500,2015/12/1
M325,500,2015/12/1
M284,500,2015/12/1
M331,500,2015/12/1
M277,500,2015/12/1
M294,-250,2015/12/1
M320,500,2015/12/1
M292,500,2015/12/1
M331,500,2015/12/1
M332,-250,2015/12/1
M294,-375,2015/12/1
M325,100,2015/12/1
M294,-100,2015/12/1
M332,-250,2015/12/1
M331,25,2015/12/1
M317,500,2015/12/1
M292,500,2015/12/1
M332,-10,2015/12/1
M334,500,2015/12/1
M268,100,2015/12/1
M341,100,2015/12/1
M342,100,2015/12/1
M334,25,2015/12/1
M294,25,2015/12/1
M301,25,2015/12/1
M272,100,2015/12/1
M343,100,2015/12/1
M332,-100,2015/12/1
M341,500,2015/12/1
M301,100,2015/12/1
M290,100,2015/12/1
M343,25,2015/12/1
M344,100,2015/12/1
M343,500,2015/12/1
M312,25,2015/12/1
M299,100,2015/12/1
M326,500,2015/12/1
M272,100,2015/12/1
M312,100,2015/12/1
M337,500,2015/12/1
M345,100,2015/12/1
M312,25,2015/12/1
M290,-50,2015/12/1
M294,100,2015/12/1
M332,-10,2015/12/1
M331,25,2015/12/1
M290,-250,2015/12/1
M298,500,2015/12/1
M321,500,2015/12/1
M281,100,2015/12/1
M290,-50,2015/12/1
